PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L1_5 PE_L1_6 PE_L1_7 PE_L1_8 PE_L1_9 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 PE_L2_5 PE_L2_6 PE_L2_7 PE_L2_8 PE_L2_9 PE_L3_1 PE_L3_2 PE_L3_3 PE_L3_4 PE_L3_5 PE_L3_6 PE_L3_7 PE_L3_8 PE_L3_9 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 31 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 95 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 91 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 91 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 91 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 91 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 91 87 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 81 91 87 94 24 
