PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 PE_L3_1 PE_L3_2 PE_L3_3 PE_L3_4 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 76 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 75 
85 0 0 0 76 0 0 0 0 0 0 76 
85 0 0 0 76 0 0 0 0 0 0 76 
85 0 0 0 76 0 0 0 0 0 0 76 
85 0 0 0 76 0 0 0 0 0 0 76 
85 0 0 0 76 0 0 0 0 0 0 76 
85 0 0 0 76 0 0 0 0 0 0 76 
85 0 0 0 76 0 0 0 0 0 0 76 
85 0 0 0 76 0 0 0 0 0 0 76 
85 0 0 0 76 0 0 0 0 0 0 76 
85 0 0 0 76 0 0 0 0 0 0 76 
85 0 0 0 76 0 0 0 0 0 0 76 
85 0 0 0 76 0 0 0 0 0 0 76 
85 0 0 0 76 0 0 0 0 0 0 76 
85 0 0 0 76 0 0 0 0 0 0 76 
85 0 0 0 76 0 0 0 0 0 0 76 
85 0 0 0 76 0 0 0 0 0 0 76 
85 0 0 0 76 0 0 0 0 0 0 76 
85 0 0 0 76 0 0 0 0 0 0 76 
85 0 0 0 76 0 0 0 0 0 0 76 
85 0 0 0 76 0 0 0 0 0 0 76 
0 0 0 0 76 0 0 0 87 0 0 76 
0 0 0 0 76 0 0 0 87 0 0 76 
0 0 0 0 76 0 0 0 87 0 0 76 
0 0 0 0 76 0 0 0 87 0 0 76 
0 0 0 0 76 0 0 0 87 0 0 76 
0 0 0 0 76 0 0 0 87 0 0 76 
0 0 0 0 76 0 0 0 87 0 0 76 
0 0 0 0 76 0 0 0 87 0 0 76 
0 0 0 0 76 0 0 0 87 0 0 76 
0 0 0 0 76 0 0 0 87 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
80 0 0 0 76 0 0 0 0 0 0 76 
81 0 0 0 76 0 0 0 0 0 0 76 
81 0 0 0 76 0 0 0 0 0 0 76 
81 0 0 0 76 0 0 0 0 0 0 76 
81 0 0 0 76 0 0 0 0 0 0 76 
81 0 0 0 76 0 0 0 0 0 0 76 
81 0 0 0 76 0 0 0 0 0 0 76 
81 0 0 0 76 0 0 0 0 0 0 76 
81 0 0 0 76 0 0 0 0 0 0 76 
81 0 0 0 76 0 0 0 0 0 0 76 
81 0 0 0 76 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 76 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
81 0 0 0 75 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
80 0 0 0 74 0 0 0 0 0 0 0 
82 0 0 0 74 0 0 0 0 0 0 0 
82 0 0 0 74 0 0 0 0 0 0 0 
